company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
59,2022,+,-,-,Shareholder Returns
59,2023,+,-,-,Shareholder Returns
59,2024,+,+,-,Liquidating Assets
59,2010,+,+,-,Liquidating Assets
60,2022,+,-,+,Mixed
60,2023,+,+,+,Cash Accumulator
60,2024,+,+,-,Liquidating Assets
60,2021,+,-,+,Mixed
61,2012,+,-,+,Mixed
61,2013,+,+,+,Cash Accumulator
61,2014,+,+,-,Liquidating Assets
61,2015,+,-,-,Shareholder Returns
61,2016,+,-,+,Mixed
61,2017,+,-,-,Shareholder Returns
61,2018,+,-,+,Mixed
61,2019,+,-,-,Shareholder Returns
61,2020,+,-,-,Shareholder Returns
61,2021,+,-,-,Shareholder Returns
61,2022,+,-,-,Shareholder Returns
61,2023,+,-,-,Shareholder Returns
61,2024,+,-,+,Mixed
62,2012,+,-,+,Mixed
62,2013,+,-,-,Shareholder Returns
62,2014,-,-,+,Growth Funded by Debt
62,2015,+,-,-,Shareholder Returns
62,2016,+,-,+,Mixed
62,2017,+,-,+,Mixed
62,2018,+,-,+,Mixed
62,2019,+,+,-,Liquidating Assets
62,2020,+,-,-,Shareholder Returns
62,2021,+,-,+,Mixed
62,2022,+,-,-,Shareholder Returns
62,2023,+,-,-,Shareholder Returns
62,2024,+,-,+,Mixed
63,2010,+,-,-,Reinvestor
63,2011,+,-,+,Mixed
63,2012,+,+,+,Cash Accumulator
63,2013,+,-,+,Mixed
63,2014,+,+,+,Cash Accumulator
63,2015,+,-,-,Shareholder Returns
63,2016,+,-,-,Shareholder Returns
63,2017,+,-,-,Shareholder Returns
63,2018,+,-,-,Shareholder Returns
63,2019,+,-,+,Mixed
63,2020,+,-,-,Shareholder Returns
63,2021,+,-,-,Shareholder Returns
63,2022,+,-,+,Mixed
63,2023,+,-,+,Mixed
63,2024,+,-,+,Mixed
64,2011,+,-,-,Reinvestor
64,2012,+,-,-,Reinvestor
64,2013,+,-,-,Shareholder Returns
64,2014,+,-,-,Shareholder Returns
64,2015,+,-,+,Mixed
64,2016,+,-,+,Mixed
64,2017,+,-,+,Mixed
64,2018,+,-,-,Shareholder Returns
64,2019,+,-,-,Shareholder Returns
64,2020,+,-,-,Shareholder Returns
64,2021,+,-,+,Mixed
64,2022,+,-,+,Mixed
64,2023,+,-,+,Mixed
64,2024,+,-,-,Shareholder Returns
65,2010,+,+,+,Cash Accumulator
65,2011,+,+,+,Cash Accumulator
65,2012,+,-,-,Shareholder Returns
65,2013,+,-,-,Shareholder Returns
65,2014,+,-,+,Mixed
65,2015,+,-,+,Mixed
65,2016,+,-,+,Mixed
65,2017,+,-,+,Mixed
65,2018,+,-,-,Shareholder Returns
65,2019,+,-,+,Mixed
65,2020,+,-,+,Mixed
65,2021,+,-,+,Mixed
65,2022,+,-,-,Reinvestor
65,2023,+,-,-,Reinvestor
65,2024,+,-,-,Reinvestor
66,2011,+,-,-,Shareholder Returns
66,2012,+,-,-,Shareholder Returns
66,2013,+,-,+,Mixed
66,2014,+,-,+,Mixed
66,2015,+,-,+,Mixed
66,2016,+,-,-,Reinvestor
66,2017,+,-,-,Shareholder Returns
66,2018,+,-,+,Mixed
66,2019,+,-,-,Shareholder Returns
66,2020,+,-,+,Mixed
66,2021,+,-,+,Mixed
66,2022,+,-,+,Mixed
66,2023,+,-,+,Mixed
66,2024,+,-,-,Shareholder Returns
67,2011,+,-,-,Shareholder Returns
67,2012,+,-,+,Mixed
67,2013,-,-,+,Growth Funded by Debt
67,2014,+,-,+,Mixed
67,2015,+,-,-,Shareholder Returns
67,2016,+,-,-,Shareholder Returns
67,2017,+,-,+,Mixed
67,2018,+,-,+,Mixed
67,2019,+,-,-,Shareholder Returns
67,2020,+,-,+,Mixed
67,2021,+,-,-,Reinvestor
67,2022,+,-,-,Reinvestor
67,2023,+,-,+,Mixed
67,2024,+,-,-,Reinvestor
68,2010,+,-,-,Reinvestor
68,2011,+,-,+,Mixed
68,2012,+,-,+,Mixed
68,2013,+,-,-,Shareholder Returns
68,2014,+,-,-,Shareholder Returns
68,2015,+,-,+,Mixed
68,2016,+,-,+,Mixed
68,2017,+,-,+,Mixed
68,2018,+,-,-,Reinvestor
68,2019,+,-,-,Reinvestor
68,2020,+,-,+,Mixed
68,2021,+,-,-,Shareholder Returns
68,2022,+,-,-,Shareholder Returns
68,2023,+,+,+,Cash Accumulator
68,2024,+,-,+,Mixed
69,2011,+,-,-,Shareholder Returns
69,2012,+,+,+,Cash Accumulator
69,2013,+,-,-,Shareholder Returns
69,2014,+,-,-,Reinvestor
69,2015,+,-,+,Mixed
69,2016,+,-,+,Mixed
69,2017,+,+,-,Liquidating Assets
69,2018,+,+,-,Liquidating Assets
69,2019,+,-,+,Mixed
69,2020,+,-,+,Mixed
69,2021,-,-,-,Pre-Revenue
69,2022,+,-,+,Mixed
69,2023,+,-,+,Mixed
69,2024,+,-,-,Shareholder Returns
70,2012,+,-,-,Reinvestor
70,2013,+,-,-,Reinvestor
70,2014,+,-,+,Mixed
70,2015,+,-,-,Reinvestor
70,2016,+,-,-,Reinvestor
70,2017,+,-,-,Reinvestor
70,2018,+,-,+,Mixed
70,2019,+,-,-,Shareholder Returns
70,2020,+,-,-,Shareholder Returns
70,2021,+,-,+,Mixed
70,2022,+,-,-,Shareholder Returns
70,2023,+,-,+,Mixed
70,2024,-,-,-,Pre-Revenue
71,2013,+,-,+,Mixed
71,2014,+,-,+,Mixed
71,2015,+,-,-,Reinvestor
71,2016,+,-,+,Mixed
71,2017,+,-,+,Mixed
71,2018,+,-,-,Shareholder Returns
71,2019,+,-,+,Mixed
71,2020,+,-,+,Mixed
71,2021,+,-,+,Mixed
71,2022,+,-,+,Mixed
71,2023,+,-,+,Mixed
71,2024,+,-,-,Shareholder Returns
72,2023,+,-,+,Mixed
72,2024,+,-,-,Shareholder Returns
73,2012,+,+,-,Liquidating Assets
73,2013,+,-,-,Shareholder Returns
73,2014,+,-,-,Reinvestor
73,2015,+,-,-,Reinvestor
73,2016,+,-,+,Mixed
73,2017,+,-,+,Mixed
73,2018,+,-,-,Shareholder Returns
73,2019,+,-,-,Shareholder Returns
73,2020,-,-,+,Growth Funded by Debt
73,2021,+,-,-,Shareholder Returns
73,2022,+,-,-,Shareholder Returns
73,2023,+,-,+,Mixed
73,2024,+,-,-,Shareholder Returns
74,2012,+,+,-,Liquidating Assets
74,2013,+,-,-,Shareholder Returns
74,2014,+,-,+,Mixed
74,2015,+,+,+,Cash Accumulator
74,2016,+,-,-,Shareholder Returns
74,2017,+,-,-,Shareholder Returns
74,2018,+,-,-,Shareholder Returns
74,2019,+,-,-,Shareholder Returns
74,2020,+,-,+,Mixed
74,2021,+,-,+,Mixed
74,2022,+,-,-,Shareholder Returns
74,2023,+,-,-,Shareholder Returns
74,2024,+,-,+,Mixed
75,2011,+,-,-,Shareholder Returns
75,2012,+,-,-,Shareholder Returns
75,2013,+,-,+,Mixed
75,2014,+,+,+,Cash Accumulator
75,2015,+,-,-,Shareholder Returns
75,2016,+,-,-,Shareholder Returns
75,2017,+,-,-,Shareholder Returns
75,2018,+,-,+,Mixed
75,2019,+,-,+,Mixed
75,2020,+,-,+,Mixed
75,2021,+,-,-,Shareholder Returns
75,2022,+,-,+,Mixed
75,2023,+,-,-,Shareholder Returns
75,2024,+,-,+,Mixed
76,2012,+,-,-,Reinvestor
76,2013,+,-,+,Mixed
76,2014,+,-,-,Shareholder Returns
76,2015,+,-,-,Shareholder Returns
76,2016,+,-,+,Mixed
76,2017,+,-,-,Shareholder Returns
76,2018,+,-,+,Mixed
76,2019,+,-,+,Mixed
76,2020,+,-,+,Mixed
76,2021,+,-,+,Mixed
76,2022,+,-,-,Shareholder Returns
76,2023,+,-,+,Mixed
76,2024,+,-,+,Mixed
77,2011,+,-,-,Reinvestor
77,2012,+,-,+,Mixed
77,2013,-,-,-,Pre-Revenue
77,2014,+,+,+,Cash Accumulator
77,2015,+,-,+,Mixed
77,2016,+,-,+,Mixed
77,2017,-,+,+,Distress Signal
77,2018,+,-,-,Shareholder Returns
77,2019,+,-,-,Shareholder Returns
77,2020,+,-,+,Mixed
77,2021,+,-,+,Mixed
77,2022,+,-,+,Mixed
77,2023,+,-,-,Reinvestor
77,2024,+,-,-,Shareholder Returns
78,2011,+,-,+,Mixed
78,2012,+,-,+,Mixed
78,2013,+,-,+,Mixed
78,2014,+,-,-,Shareholder Returns
78,2015,+,+,-,Liquidating Assets
78,2016,+,-,+,Mixed
78,2017,+,+,+,Cash Accumulator
78,2018,+,-,+,Mixed
78,2019,+,-,+,Mixed
78,2020,+,-,-,Shareholder Returns
78,2021,+,+,-,Liquidating Assets
78,2022,+,+,+,Cash Accumulator
78,2023,+,-,+,Mixed
78,2024,+,-,+,Mixed
79,2011,+,-,+,Mixed
79,2012,+,-,-,Reinvestor
79,2013,+,-,+,Mixed
79,2014,+,-,+,Mixed
79,2015,+,-,+,Mixed
79,2016,-,-,-,Pre-Revenue
79,2017,+,-,+,Mixed
79,2018,+,-,-,Shareholder Returns
79,2019,+,-,+,Mixed
79,2020,+,-,+,Mixed
79,2021,+,+,+,Cash Accumulator
79,2022,+,-,-,Shareholder Returns
79,2023,+,-,+,Mixed
79,2024,+,-,-,Shareholder Returns
79,2010,+,-,+,Mixed
80,2010,+,-,-,Shareholder Returns
80,2011,+,-,+,Mixed
80,2012,+,-,+,Mixed
80,2013,+,-,-,Shareholder Returns
80,2014,+,+,+,Cash Accumulator
80,2015,+,-,+,Mixed
80,2016,-,+,+,Distress Signal
80,2017,+,-,+,Mixed
80,2018,+,-,-,Shareholder Returns
80,2019,+,-,-,Shareholder Returns
80,2020,+,-,+,Mixed
80,2021,+,-,-,Shareholder Returns
80,2022,+,-,+,Mixed
80,2023,+,-,+,Mixed
80,2024,+,-,+,Mixed
81,2010,+,-,-,Shareholder Returns
81,2011,+,+,+,Cash Accumulator
81,2012,+,-,-,Shareholder Returns
81,2013,+,+,-,Liquidating Assets
81,2014,+,-,+,Mixed
81,2015,+,-,+,Mixed
81,2016,+,-,-,Shareholder Returns
81,2017,+,-,-,Shareholder Returns
81,2018,+,-,-,Shareholder Returns
81,2019,+,-,+,Mixed
81,2020,+,-,+,Mixed
81,2021,-,-,+,Growth Funded by Debt
81,2022,+,-,+,Mixed
81,2023,+,-,+,Mixed
81,2024,+,-,+,Mixed
82,2013,+,-,+,Mixed
82,2014,+,-,-,Reinvestor
82,2015,+,-,+,Mixed
82,2016,+,-,-,Reinvestor
82,2017,+,-,+,Mixed
82,2018,+,+,+,Cash Accumulator
82,2019,+,+,+,Cash Accumulator
82,2020,+,-,-,Shareholder Returns
82,2021,+,-,+,Mixed
82,2022,+,-,+,Mixed
82,2023,+,-,-,Shareholder Returns
82,2024,+,-,-,Shareholder Returns
83,2010,+,+,+,Cash Accumulator
83,2011,+,-,-,Shareholder Returns
83,2012,+,+,-,Liquidating Assets
83,2013,+,-,-,Shareholder Returns
83,2014,+,-,+,Mixed
83,2015,+,-,+,Mixed
83,2016,+,-,-,Shareholder Returns
83,2017,+,-,+,Mixed
83,2018,+,-,+,Mixed
83,2019,+,-,+,Mixed
83,2020,+,-,+,Mixed
83,2021,+,-,-,Reinvestor
83,2022,-,-,-,Pre-Revenue
83,2023,+,+,+,Cash Accumulator
83,2024,+,-,-,Reinvestor
84,2022,+,-,-,Reinvestor
84,2023,+,-,+,Mixed
84,2024,-,-,-,Pre-Revenue
85,2011,+,-,-,Shareholder Returns
85,2012,+,-,+,Mixed
85,2013,+,+,-,Liquidating Assets
85,2014,+,-,-,Shareholder Returns
85,2015,-,-,+,Growth Funded by Debt
85,2016,+,-,-,Shareholder Returns
85,2017,+,-,-,Reinvestor
85,2018,+,-,+,Mixed
85,2019,+,-,-,Shareholder Returns
85,2020,+,-,+,Mixed
85,2021,+,-,+,Mixed
85,2022,+,+,+,Cash Accumulator
85,2023,+,-,+,Mixed
85,2024,+,-,+,Mixed
86,2012,+,-,-,Reinvestor
86,2013,-,-,+,Growth Funded by Debt
86,2014,+,-,-,Reinvestor
86,2015,+,-,-,Reinvestor
86,2016,+,-,+,Mixed
86,2017,+,-,-,Reinvestor
86,2018,+,-,-,Reinvestor
86,2019,+,-,+,Mixed
86,2020,+,-,-,Reinvestor
86,2021,+,+,-,Liquidating Assets
86,2022,+,-,-,Shareholder Returns
86,2023,+,+,-,Liquidating Assets
86,2024,+,-,+,Mixed
87,2012,-,+,-,Unclassified
87,2013,+,-,-,Reinvestor
87,2014,+,+,-,Liquidating Assets
87,2015,+,-,+,Mixed
87,2016,+,+,+,Cash Accumulator
87,2017,+,-,+,Mixed
87,2018,+,-,+,Mixed
87,2019,+,-,-,Shareholder Returns
87,2020,+,-,+,Mixed
87,2021,+,-,-,Shareholder Returns
87,2022,+,-,-,Shareholder Returns
87,2023,+,-,+,Mixed
87,2024,+,-,+,Mixed
88,2013,+,-,-,Reinvestor
88,2014,+,-,-,Reinvestor
88,2015,+,-,-,Reinvestor
88,2016,+,-,+,Mixed
88,2017,+,+,-,Liquidating Assets
88,2018,+,-,+,Mixed
88,2019,+,-,+,Mixed
88,2020,+,-,+,Mixed
88,2021,+,-,+,Mixed
88,2022,+,-,-,Shareholder Returns
88,2023,+,-,-,Shareholder Returns
88,2024,+,-,+,Mixed
89,2012,+,-,-,Reinvestor
89,2013,-,-,+,Growth Funded by Debt
89,2014,+,-,+,Mixed
89,2015,+,-,-,Reinvestor
89,2016,+,-,-,Reinvestor
89,2017,+,-,+,Mixed
89,2018,+,-,-,Shareholder Returns
89,2019,+,-,-,Shareholder Returns
89,2020,+,-,+,Mixed
89,2021,+,-,-,Shareholder Returns
89,2022,+,-,-,Shareholder Returns
89,2023,+,+,-,Liquidating Assets
89,2024,+,-,+,Mixed
90,2010,+,-,+,Mixed
90,2011,+,-,+,Mixed
90,2012,-,-,+,Growth Funded by Debt
90,2013,-,-,+,Growth Funded by Debt
90,2014,+,-,+,Mixed
90,2015,+,-,+,Mixed
90,2016,+,-,+,Mixed
90,2017,+,-,-,Shareholder Returns
90,2018,+,-,+,Mixed
90,2019,+,+,+,Cash Accumulator
90,2020,+,-,+,Mixed
90,2021,+,-,-,Shareholder Returns
90,2022,-,-,-,Pre-Revenue
90,2023,+,+,+,Cash Accumulator
90,2024,+,-,+,Mixed
91,2013,+,-,-,Shareholder Returns
91,2014,+,-,-,Shareholder Returns
91,2015,+,-,+,Mixed
91,2016,+,+,-,Liquidating Assets
91,2017,+,-,+,Mixed
91,2018,+,-,-,Shareholder Returns
91,2019,+,-,+,Mixed
91,2020,+,-,-,Shareholder Returns
91,2021,+,-,+,Mixed
91,2022,+,+,+,Cash Accumulator
91,2023,+,-,-,Shareholder Returns
91,2024,+,-,+,Mixed
92,2011,+,-,+,Mixed
92,2012,+,-,-,Shareholder Returns
92,2013,+,-,-,Shareholder Returns
92,2014,+,+,-,Liquidating Assets
92,2015,+,-,+,Mixed
92,2016,+,+,-,Liquidating Assets
92,2017,+,-,-,Shareholder Returns
92,2018,+,-,+,Mixed
92,2019,+,-,+,Mixed
92,2020,+,-,-,Shareholder Returns
92,2021,+,-,+,Mixed
92,2022,+,-,-,Reinvestor
92,2023,+,-,-,Reinvestor
92,2024,+,-,+,Mixed
92,2010,+,-,-,Reinvestor
